Epoch: 1 | lr: 0.00005 | training loss: 0.11846 | validation loss: 0.11173 | PSNR: 27.467 | Time: 17.8
Epoch: 2 | lr: 0.00006 | training loss: 0.11694 | validation loss: 0.11139 | PSNR: 28.500 | Time: 3.1
Epoch: 3 | lr: 0.00007 | training loss: 0.11682 | validation loss: 0.11136 | PSNR: 28.655 | Time: 3.0
Epoch: 4 | lr: 0.00009 | training loss: 0.11679 | validation loss: 0.11129 | PSNR: 28.774 | Time: 3.0
Epoch: 5 | lr: 0.00011 | training loss: 0.11655 | validation loss: 0.11100 | PSNR: 28.633 | Time: 3.3
Epoch: 6 | lr: 0.00014 | training loss: 0.11581 | validation loss: 0.11036 | PSNR: 29.164 | Time: 3.2
Epoch: 7 | lr: 0.00017 | training loss: 0.11496 | validation loss: 0.10979 | PSNR: 29.404 | Time: 4.2
Epoch: 8 | lr: 0.00020 | training loss: 0.11427 | validation loss: 0.10941 | PSNR: 29.603 | Time: 3.7
Epoch: 9 | lr: 0.00024 | training loss: 0.11383 | validation loss: 0.10930 | PSNR: 29.708 | Time: 3.4
Epoch: 10 | lr: 0.00028 | training loss: 0.11382 | validation loss: 0.10923 | PSNR: 30.180 | Time: 3.8
Epoch: 11 | lr: 0.00033 | training loss: 0.11366 | validation loss: 0.10921 | PSNR: 30.067 | Time: 3.4
Epoch: 12 | lr: 0.00038 | training loss: 0.11371 | validation loss: 0.10917 | PSNR: 30.414 | Time: 3.4
Epoch: 13 | lr: 0.00044 | training loss: 0.11353 | validation loss: 0.10920 | PSNR: 29.924 | Time: 3.6
Epoch: 14 | lr: 0.00049 | training loss: 0.11356 | validation loss: 0.10912 | PSNR: 30.203 | Time: 4.0
Epoch: 15 | lr: 0.00056 | training loss: 0.11346 | validation loss: 0.10912 | PSNR: 30.131 | Time: 3.4
Epoch: 16 | lr: 0.00062 | training loss: 0.11350 | validation loss: 0.10911 | PSNR: 30.042 | Time: 3.4
Epoch: 17 | lr: 0.00069 | training loss: 0.11355 | validation loss: 0.10907 | PSNR: 30.224 | Time: 3.4
Epoch: 18 | lr: 0.00075 | training loss: 0.11352 | validation loss: 0.10907 | PSNR: 29.767 | Time: 3.6
Epoch: 19 | lr: 0.00082 | training loss: 0.11331 | validation loss: 0.10895 | PSNR: 30.462 | Time: 4.9
Epoch: 20 | lr: 0.00090 | training loss: 0.11337 | validation loss: 0.10897 | PSNR: 30.289 | Time: 5.5
Epoch: 21 | lr: 0.00097 | training loss: 0.11331 | validation loss: 0.10897 | PSNR: 30.131 | Time: 5.1
Epoch: 22 | lr: 0.00105 | training loss: 0.11329 | validation loss: 0.10890 | PSNR: 30.513 | Time: 5.1
Epoch: 23 | lr: 0.00112 | training loss: 0.11326 | validation loss: 0.10902 | PSNR: 29.910 | Time: 5.1
Epoch: 24 | lr: 0.00120 | training loss: 0.11319 | validation loss: 0.10887 | PSNR: 30.324 | Time: 5.1
Epoch: 25 | lr: 0.00128 | training loss: 0.11319 | validation loss: 0.10886 | PSNR: 30.180 | Time: 4.8
Epoch: 26 | lr: 0.00135 | training loss: 0.11318 | validation loss: 0.10910 | PSNR: 30.114 | Time: 4.4
Epoch: 27 | lr: 0.00143 | training loss: 0.11328 | validation loss: 0.10881 | PSNR: 30.387 | Time: 4.6
Epoch: 28 | lr: 0.00151 | training loss: 0.11306 | validation loss: 0.10884 | PSNR: 30.287 | Time: 4.6
Epoch: 29 | lr: 0.00158 | training loss: 0.11313 | validation loss: 0.10874 | PSNR: 30.639 | Time: 4.5
Epoch: 30 | lr: 0.00165 | training loss: 0.11299 | validation loss: 0.10881 | PSNR: 30.172 | Time: 4.7
Epoch: 31 | lr: 0.00173 | training loss: 0.11299 | validation loss: 0.10874 | PSNR: 30.612 | Time: 4.6
Epoch: 32 | lr: 0.00180 | training loss: 0.11289 | validation loss: 0.10876 | PSNR: 30.576 | Time: 4.3
Epoch: 33 | lr: 0.00187 | training loss: 0.11296 | validation loss: 0.10875 | PSNR: 30.484 | Time: 4.3
Epoch: 34 | lr: 0.00193 | training loss: 0.11304 | validation loss: 0.10870 | PSNR: 30.670 | Time: 4.4
Epoch: 35 | lr: 0.00200 | training loss: 0.11289 | validation loss: 0.10866 | PSNR: 30.534 | Time: 4.7
Epoch: 36 | lr: 0.00206 | training loss: 0.11288 | validation loss: 0.10882 | PSNR: 30.606 | Time: 4.3
Epoch: 37 | lr: 0.00211 | training loss: 0.11288 | validation loss: 0.10863 | PSNR: 30.573 | Time: 4.1
Epoch: 38 | lr: 0.00217 | training loss: 0.11302 | validation loss: 0.10874 | PSNR: 30.355 | Time: 4.1
Epoch: 39 | lr: 0.00222 | training loss: 0.11284 | validation loss: 0.10892 | PSNR: 30.214 | Time: 4.2
Epoch: 40 | lr: 0.00227 | training loss: 0.11297 | validation loss: 0.10864 | PSNR: 30.474 | Time: 4.3
Epoch: 41 | lr: 0.00231 | training loss: 0.11283 | validation loss: 0.10863 | PSNR: 30.755 | Time: 3.8
Epoch: 42 | lr: 0.00235 | training loss: 0.11278 | validation loss: 0.10853 | PSNR: 30.810 | Time: 2.6
Epoch: 43 | lr: 0.00238 | training loss: 0.11270 | validation loss: 0.10860 | PSNR: 30.667 | Time: 3.0
Epoch: 44 | lr: 0.00241 | training loss: 0.11274 | validation loss: 0.10875 | PSNR: 30.400 | Time: 2.9
Epoch: 45 | lr: 0.00244 | training loss: 0.11268 | validation loss: 0.10893 | PSNR: 30.713 | Time: 3.4
Epoch: 46 | lr: 0.00246 | training loss: 0.11265 | validation loss: 0.10872 | PSNR: 30.676 | Time: 5.3
Epoch: 47 | lr: 0.00248 | training loss: 0.11266 | validation loss: 0.10881 | PSNR: 30.679 | Time: 4.5
Epoch: 48 | lr: 0.00249 | training loss: 0.11262 | validation loss: 0.10855 | PSNR: 30.947 | Time: 4.2
Epoch: 49 | lr: 0.00250 | training loss: 0.11265 | validation loss: 0.10855 | PSNR: 30.920 | Time: 4.2
Epoch: 50 | lr: 0.00250 | training loss: 0.11256 | validation loss: 0.10850 | PSNR: 30.779 | Time: 4.3
Epoch: 51 | lr: 0.00250 | training loss: 0.11267 | validation loss: 0.10884 | PSNR: 30.537 | Time: 5.3
Epoch: 52 | lr: 0.00250 | training loss: 0.11254 | validation loss: 0.10880 | PSNR: 30.627 | Time: 4.7
Epoch: 53 | lr: 0.00250 | training loss: 0.11252 | validation loss: 0.10858 | PSNR: 30.906 | Time: 4.9
Epoch: 54 | lr: 0.00250 | training loss: 0.11251 | validation loss: 0.10871 | PSNR: 30.734 | Time: 4.8
Epoch: 55 | lr: 0.00250 | training loss: 0.11258 | validation loss: 0.10866 | PSNR: 30.922 | Time: 4.5
Epoch: 56 | lr: 0.00250 | training loss: 0.11254 | validation loss: 0.10857 | PSNR: 31.028 | Time: 4.2
Epoch: 57 | lr: 0.00250 | training loss: 0.11243 | validation loss: 0.10868 | PSNR: 30.793 | Time: 4.1
Epoch: 58 | lr: 0.00249 | training loss: 0.11247 | validation loss: 0.10872 | PSNR: 30.555 | Time: 4.5
Epoch: 59 | lr: 0.00249 | training loss: 0.11249 | validation loss: 0.10864 | PSNR: 30.720 | Time: 4.9
Epoch: 60 | lr: 0.00249 | training loss: 0.11256 | validation loss: 0.10869 | PSNR: 30.872 | Time: 4.3
Epoch: 61 | lr: 0.00249 | training loss: 0.11242 | validation loss: 0.10851 | PSNR: 31.123 | Time: 4.3
Epoch: 62 | lr: 0.00249 | training loss: 0.11243 | validation loss: 0.10868 | PSNR: 30.980 | Time: 4.1
Epoch: 63 | lr: 0.00248 | training loss: 0.11241 | validation loss: 0.10864 | PSNR: 31.000 | Time: 4.2
Epoch: 64 | lr: 0.00248 | training loss: 0.11241 | validation loss: 0.10838 | PSNR: 30.981 | Time: 4.2
Epoch: 65 | lr: 0.00248 | training loss: 0.11227 | validation loss: 0.10872 | PSNR: 30.818 | Time: 4.2
Epoch: 66 | lr: 0.00248 | training loss: 0.11228 | validation loss: 0.10873 | PSNR: 31.005 | Time: 4.2
Epoch: 67 | lr: 0.00247 | training loss: 0.11246 | validation loss: 0.10862 | PSNR: 30.943 | Time: 4.4
Epoch: 68 | lr: 0.00247 | training loss: 0.11228 | validation loss: 0.10873 | PSNR: 30.950 | Time: 4.1
Epoch: 69 | lr: 0.00247 | training loss: 0.11228 | validation loss: 0.10856 | PSNR: 30.664 | Time: 4.2
Epoch: 70 | lr: 0.00246 | training loss: 0.11227 | validation loss: 0.10883 | PSNR: 30.664 | Time: 4.2
Epoch: 71 | lr: 0.00246 | training loss: 0.11223 | validation loss: 0.10845 | PSNR: 30.687 | Time: 4.2
Epoch: 72 | lr: 0.00245 | training loss: 0.11227 | validation loss: 0.10877 | PSNR: 30.686 | Time: 4.1
Epoch: 73 | lr: 0.00245 | training loss: 0.11230 | validation loss: 0.10863 | PSNR: 31.074 | Time: 4.2
