Epoch: 1 | lr: 0.00005 | training loss: 0.12089 | validation loss: 0.11500 | PSNR: 24.701 | Time: 23.5
Epoch: 2 | lr: 0.00006 | training loss: 0.12070 | validation loss: 0.11466 | PSNR: 24.867 | Time: 4.0
Epoch: 3 | lr: 0.00007 | training loss: 0.11995 | validation loss: 0.11430 | PSNR: 25.060 | Time: 4.0
Epoch: 4 | lr: 0.00009 | training loss: 0.11994 | validation loss: 0.11387 | PSNR: 25.309 | Time: 3.2
Epoch: 5 | lr: 0.00011 | training loss: 0.11888 | validation loss: 0.11337 | PSNR: 25.635 | Time: 3.3
Epoch: 6 | lr: 0.00014 | training loss: 0.11882 | validation loss: 0.11284 | PSNR: 26.050 | Time: 3.4
Epoch: 7 | lr: 0.00017 | training loss: 0.11781 | validation loss: 0.11238 | PSNR: 26.484 | Time: 3.3
Epoch: 8 | lr: 0.00020 | training loss: 0.11704 | validation loss: 0.11197 | PSNR: 27.006 | Time: 3.7
Epoch: 9 | lr: 0.00024 | training loss: 0.11708 | validation loss: 0.11164 | PSNR: 27.655 | Time: 3.5
Epoch: 10 | lr: 0.00029 | training loss: 0.11858 | validation loss: 0.11146 | PSNR: 28.174 | Time: 3.4
Epoch: 11 | lr: 0.00033 | training loss: 0.11740 | validation loss: 0.11141 | PSNR: 28.345 | Time: 3.5
Epoch: 12 | lr: 0.00039 | training loss: 0.11843 | validation loss: 0.11141 | PSNR: 28.376 | Time: 3.1
Epoch: 13 | lr: 0.00044 | training loss: 0.11543 | validation loss: 0.11139 | PSNR: 28.485 | Time: 3.2
Epoch: 14 | lr: 0.00050 | training loss: 0.11768 | validation loss: 0.11136 | PSNR: 28.611 | Time: 3.8
Epoch: 15 | lr: 0.00056 | training loss: 0.11857 | validation loss: 0.11134 | PSNR: 28.751 | Time: 4.0
Epoch: 16 | lr: 0.00062 | training loss: 0.11603 | validation loss: 0.11133 | PSNR: 28.827 | Time: 4.4
Epoch: 17 | lr: 0.00069 | training loss: 0.11609 | validation loss: 0.11132 | PSNR: 28.890 | Time: 4.5
Epoch: 18 | lr: 0.00076 | training loss: 0.11691 | validation loss: 0.11130 | PSNR: 28.876 | Time: 4.2
Epoch: 19 | lr: 0.00083 | training loss: 0.11694 | validation loss: 0.11128 | PSNR: 28.914 | Time: 4.1
Epoch: 20 | lr: 0.00090 | training loss: 0.11798 | validation loss: 0.11127 | PSNR: 28.754 | Time: 4.1
Epoch: 21 | lr: 0.00098 | training loss: 0.11664 | validation loss: 0.11119 | PSNR: 28.881 | Time: 4.1
Epoch: 22 | lr: 0.00105 | training loss: 0.11617 | validation loss: 0.11114 | PSNR: 28.168 | Time: 4.1
Epoch: 23 | lr: 0.00113 | training loss: 0.11647 | validation loss: 0.11106 | PSNR: 28.081 | Time: 4.3
Epoch: 24 | lr: 0.00121 | training loss: 0.11587 | validation loss: 0.11084 | PSNR: 28.482 | Time: 4.7
Epoch: 25 | lr: 0.00128 | training loss: 0.11455 | validation loss: 0.11071 | PSNR: 28.519 | Time: 4.5
